NAME,TOTAL,SOURCE
Kronos ,664,The Wrap
Elian Karel ,80,The Wrap
Silvia Marek ,12,The Wrap
Antaura Karel ,5,The Wrap
Juliana Vann ,58,The Wrap
Marek ,15,The Wrap
Elian ,28,The Wrap
Jeroen ,4,The Wrap
Henk Bodrogi ,36,The Wrap
Abila ,193,The Wrap
Tiskele ,35,The Wrap
Kapelou II ,13,The Wrap
Elodis ,68,The Wrap
Nespola ,43,The Wrap
Pondo Reese ,9,The Wrap
Reese ,3,The Wrap
Sten Sanjorge Jr ,14,The Wrap
Hank Fluss ,10,The Wrap
Sten Sanjorge ,100,The Wrap
Sanjorge ,74,The Wrap
Sanjorge SR ,1,The Wrap
Delouse Araullo ,1,The Wrap
Tomas Sarto ,3,The Wrap
ELIAN KAREL ,13,The Wrap
Michale Kraft ,27,The Wrap
Kraft ,11,The Wrap
Karel ,178,The Wrap
Juliana ,36,The Wrap
Kronos GAStech ,1,The Wrap
Amid ,1,The Wrap
Remind Juliana ,1,The Wrap
Remind Elian ,1,The Wrap
Araullo ,50,The Wrap
Jon L. ,4,The Wrap
Pondo ,4,The Wrap
Henk ,3,The Wrap
Bodrogi ,14,The Wrap
Joclyn Reynolds ,4,The Wrap
Reynolds ,10,The Wrap
Kronesian ,1,The Wrap
Adian Koppolis ,7,The Wrap
Marcellus Edris ,6,The Wrap
Carmine ,7,The Wrap
Koppolis ,3,The Wrap
Cesare Nespola ,22,The Wrap
KRONOS HEALTH ,1,The Wrap
Wellness ,1,The Wrap
Tethys ,95,The Wrap
Kapelou ,76,The Wrap
Carmine Osvaldo ,4,The Wrap
Mestache Vardshvna ,5,The Wrap
Vardshvna ,3,The Wrap
Griffith Mabel ,5,The Wrap
Charley Normand ,4,The Wrap
Mabel ,4,The Wrap
Levels ,1,The Orb
Luis Araullo ,10,The Orb
Sarto ,20,The Orb
Kriste Brontes ,3,The Orb
Elodis Community ,2,The Orb
Affairs Foreign ,1,The Orb
Mr. Henk Bodrogi ,2,The Orb
Bodrodgi ,3,The Orb
Mr. Fluss ,3,The Orb
Sten ,17,The Orb
Sanjorge Jr. ,10,The Orb
Fluss ,23,The Orb
Sanjorge Sr ,7,The Orb
Tethys News ,35,Tethys News
Willem Vasco-Pais ,4,Tethys News
Mr. ,10,Tethys News
Adrien ,3,Tethys News
Carman ,9,Tethys News
Megaphone Rufus Drymiau ,1,Tethys News
Edvard Vann ,26,Tethys News
Vann ,18,Tethys News
Accardi ,1,Tethys News
Ingrid Barranca ,2,Tethys News
Mr. Strum ,8,Tethys News
Ada Campo-Corrente ,14,Tethys News
Sten Sanjorge Jr. ,15,Tethys News
Willem ,17,Tethys News
Orhan ,1,Tethys News
Rebecca Cato ,11,The World
Tiskele Bend ,16,The World
Ivar Blanes ,4,The World
Hyper Acidic Substrate Removal ,6,The World
Abila Fire ,5,The World
Sanjorge Trucking ,2,The World
Beatriz Fluss ,9,The World
Emeritus ,5,The World
Willem Gracias ,5,The World
Ingrid Sanjorge ,6,The World
Hank ,15,The World
Centrum ,15,The World
Officer ,2,The World
East Pier ,2,The World
Claudio Morluniau ,4,The World
Shale ,3,World Source
Image ,3,World Source
Oskar Wertz ,5,World Source
Funds ,2,World Source
All ,4,World Source
Jim ,6,World Source
Robert Loblaw ,4,World Source
Tethys Counterdrug Team ,2,World Source
Loblaw ,12,World Source
Tulip Blossom ,4,World Source
John Rathburn ,5,World Source
Gastech ,4,World Source
Mr. Drymiau ,4,World Source
Journalist ,3,International Times
Shawn Pastorini ,5,International Times
Black ,3,International Times
Terek Kamal ,4,International Times
Initially ,3,International Times
Dorel Kapelou II ,20,International Times
Rufus Drymiau ,40,International Times
Sten Jr. ,3,International Times
Jules Jecovic ,4,International Times
Oil ,4,International Times
Gas Kronos ,2,International Times
K17 ,4,International Times
K30 ,3,International Times
Jecovic ,3,International Times
Abila Children ,2,International Times
Abila Hospitals Seeing Influx ,2,International Times
Designer Drug ,2,International Times
Alicia Bianca ,4,International Times
Bianca ,18,International Times
Ralf Potter ,1,International Times
Citywide ,3,International Times
Cotton Candy ,2,International Times
Abila General ,2,International Times
Sgt ,4,International Times
Antonio Arresta ,4,International Times
Arresta ,4,International Times
Cotton ,3,International Times
Biance ,2,International Times
K18 ,4,International Times
K166 ,5,International Times
Jayala Mahmed ,4,International Times
Athena Speaks ,25,Athena Speaks
Luis ,1,Athena Speaks
Mark ,2,Athena Speaks
Shine Araullo ,1,Athena Speaks
